category_name,category_url,is_page_list
Bombe de peinture,/c/bombe-de-peinture,True
Petits outils de jardin,/c/petits-outils-de-jardin,True
Manche & accessoires pour outils à main,/c/manche-et-accessoires-pour-outils-a-main,False
Outils pour cultiver son potager,/c/outils-pour-cultiver-son-potager,False
Grands outils de jardin,/c/grands-outils-de-jardin,True
Outils d'entretien du jardin,/c/outils-d-entretien-du-jardin,False
Outils pour scier et couper du bois,/c/outils-pour-scier-et-couper-du-bois,False
Outils pour débroussailler & entretenir le gazon,/c/outils-pour-debroussailler-et-entretenir-le-gazon,False
Manche en bois pour outil de jardin,/c/manche-en-bois-pour-outil-de-jardin,True
Transplantoir,/c/transplantoir,True
Plantoir à bulbe,/c/plantoir-a-bulbe,True
Pelle à neige,/c/pelle-a-neige,True
Lame de scie & accessoires,/c/lame-de-scie-et-accessoires,True
Faucille,/c/faucille,True
Epandeur,/c/epandeur,True
Croissant de jardin,/c/croissant-de-jardin,True
Rouleau à gazon,/c/rouleau-a-gazon,True
Faux de jardinage,/c/faux-de-jardinage,True
Scarificateur manuel,/c/scarificateur-manuel,True
Cisaille à gazon,/c/cisaille-a-gazon,True
Râteau,/c/rateau,True
Masse pour fendre le bois,/c/masse-pour-fendre-le-bois,True
Coin pour fendre du bois,/c/coin-pour-fendre-du-bois,True
Chevalet à bûche,/c/chevalet-a-buche,True
Scie à main,/c/scie-a-main,True
Hache,/c/hache,True
Merlin pour fendre du bois,/c/merlin-pour-fendre-du-bois,True
Balai extérieur,/c/balai-exterieur,True
Balai à gazon,/c/balai-a-gazon,True
Incinérateur de jardin,/c/incinerateur-de-jardin,True
Balai à feuilles,/c/balai-a-feuilles,True
Louchet,/c/louchet,True
"Brouette, chariot de jardin & accessoires",/c/brouette-chariot-de-jardin-et-accessoires,False
Outils pour travailler le sol & désherber,/c/outils-pour-travailler-le-sol-et-desherber,False
Outils pour tailler,/c/outils-pour-tailler,False
Pulvéristeur & accessoires,/c/pulveristeur-et-accessoires,False
Composteur,/c/composteur,True
Appareil de mesure,/c/appareil-de-mesure,False
Chariot de jardin,/c/chariot-de-jardin,True
Cultivateur,/c/cultivateur,True
Accessoires pour outils de taille,/c/accessoires-pour-outils-de-taille,True
Poudreuse de jardin,/c/poudreuse-de-jardin,True
Accessoires pour pulvérisateur de jardin,/c/accessoires-pour-pulverisateur-de-jardin,False
Thermomètre,/c/thermometre,True
Station météo,/c/station-meteo,True
Pluviomètre,/c/pluviometre,True
pH-mètre,/c/ph-metre,True
Baromètre,/c/barometre,True
Rampe pour pulvérisateur,/c/rampe-pour-pulverisateur,True
Rallonge pour pulvérisateur,/c/rallonge-pour-pulverisateur,True
Poignée de pulvérisateur,/c/poignee-de-pulverisateur,True
Lance pour pulvérisateur,/c/lance-pour-pulverisateur,True
Cache pour pulvérisateur,/c/cache-pour-pulverisateur,True
Buse pour pulvérisateur,/c/buse-pour-pulverisateur,True
Pulvérisateur à gâchette,/c/pulverisateur-a-gachette,True
Pulvérisateur à pression préalable,/c/pulverisateur-a-pression-prealable,True
Pulvérisateur à pression entretenue,/c/pulverisateur-a-pression-entretenue,True
Pulvérisateur électrique,/c/pulverisateur-electrique,True
Serpette,/c/serpette,True
Serpe,/c/serpe,True
Cisaille à haie,/c/cisaille-a-haie,True
Échenilloir,/c/echenilloir,True
Sécateur,/c/secateur,False
Ebrancheur & coupe-branche,/c/ebrancheur-et-coupe-branche,True
Sarcloir,/c/sarcloir,True
Dresse-bordure,/c/dresse-bordure,True
Houe,/c/houe,True
Pelle,/c/pelle,True
Sécateur coupe franche,/c/secateur-coupe-franche,True
Sécateur à enclume,/c/secateur-a-enclume,True
Ciseaux de jardinage,/c/ciseaux-de-jardinage,True
Bêche,/c/beche,True
Fourche à becher,/c/fourche-a-becher,True
Serfouette,/c/serfouette,True
Binette,/c/binette,True
Fourche,/c/fourche,True
Désherbeur manuel,/c/desherbeur-manuel,True
Pioche,/c/pioche,True
Croc & griffe de jardin,/c/croc-et-griffe-de-jardin,True
Brouette,/c/brouette,False
Accessoires de culture,/c/accessoires-de-culture,False
"Film, voile & accessoires de protection des cultures",/c/film-voile-et-accessoires-de-protection-des-cultures,False
Tenue de jardinier,/c/tenue-de-jardinier,False
Gants de jardinage,/c/gants-de-jardinage,False
Bottes et sabots de jardin,/c/bottes-et-sabots-de-jardin,False
Roue & accessoires de brouette,/c/roue-et-accessoires-de-brouette,True
Etiquette pour plante,/c/etiquette-pour-plante,True
Epouvantail de jardin,/c/epouvantail-de-jardin,True
Vêtements de chasse,/c/vetements-de-chasse,True
Gants anti épine et ronce,/c/gants-anti-epine-et-ronce,True
Chaussures de jardin,/c/chaussures-de-jardin,True
Sabots galoches,/c/sabots-galoches,True
Bottes de jardin,/c/bottes-de-jardin,True
Veste et manteau de jardinage pour homme,/c/veste-et-manteau-de-jardinage-pour-homme,True
Veste et manteau de jardinage pour femme,/c/veste-et-manteau-de-jardinage-pour-femme,True
Tee-shirt et chemise de jardinage pour homme,/c/tee-shirt-et-chemise-de-jardinage-pour-homme,True
Tee-shirt et chemise de jardinage pour femme,/c/tee-shirt-et-chemise-de-jardinage-pour-femme,True
Sweat et pull de jardinage pour homme,/c/sweat-et-pull-de-jardinage-pour-homme,True
